Ubisoft||Ubisoft is a producer, publisher, and distributor of interactive entertainment products.||Montreuil-sous-bois, Ile-de-France, France||Media and Entertainment, Publishing, Video Games||None||https://www.linkedin.com/company/2528/
The Johns Hopkins University||Founded in 1876, the Johns Hopkins University is the first research university in America.||Baltimore, Maryland, United States||Greater Baltimore-Maryland Area, East Coast, Southern US||None||https://www.linkedin.com/school/johns-hopkins-university/
Techstars||Techstars is the global platform for investment and innovation.||Boulder, Colorado, United States||Finance, Financial Services, Venture Capital||None||https://www.linkedin.com/company/techstars/
BioMotiv||BioMotiv is a therapeutic accelerator developing a portfolio of novel medicines.||Cleveland, Ohio, United States||Biotechnology, Life Science, Medical, Therapeutics||www.biomotiv.com||http://www.linkedin.com/company/3217531
Antler||Antler is a startup generator & early-stage VC that enables the world’s most determined people to build global businesses from the ground up||Singapore, Central Region, Singapore||Financial Services, Venture Capital||antler.co/||https://www.linkedin.com/company/antleri/
TandemLaunch||Seed investor & incubator for consumer electronics innovation.||Montréal, Quebec, Canada||Automotive, Consumer Electronics, Incubators||www.tandemlaunch.com||http://www.linkedin.com/company/899167
Elemental Excelerator||Elemental Excelerator helps startups change the world, one community at a time.||Honolulu, Hawaii, United States||Agriculture, Clean Energy, CleanTech, Food and Beverage, Transportation, Waste Management, Water||elementalexcelerator.com/||https://www.linkedin.com/company/elementalexcelerator
Team8||Team8 is a cybersecurity think tank and venture creation foundry.||Tel Aviv-yafo, Tel Aviv, Israel||Computer, Cyber Security, Network Security||None||https://www.linkedin.com/company/team8-cyber-security-
SMARTIFICIAL RESEARCH & TECHNOLOGY, INC||SMARTIFICIAL (TM) is an International R&D Innovation network and virtual accelerator focused on Artificial Intelligence business solutions||San Francisco, California, United States||Artificial Intelligence, Blockchain, Incubators, Innovation Management, Machine Learning, Software||None||None
The Fabric||The Fabric helps new entrepreneurs incubate ideas, create technologies and develop business models as a co-founder and co-creator.||Mountain View, California, United States||Cloud Computing, Internet of Things, Venture Capital, Web Hosting||www.thefabricnet.com||http://www.linkedin.com/company/the-fabric
Envestnet||Envestnet is a leading provider of technology-enabled investment and practice management solutions to financial advisors.||Chicago Heights, Illinois, United States||Architecture, Financial Services, Wealth Management||None||https://www.linkedin.com/company/envestnet/
Creative Destruction Lab||Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures.||Toronto, Ontario, Canada||Advice, Angel Investment, Finance, Quantum Computing, Venture Capital||None||https://www.linkedin.com/company/creative-destruction-lab
Y Combinator||Y Combinator is a startup accelerator that invests in a large number of startups twice a year.||Mountain View, California, United States||Consulting, Finance, Venture Capital||www.ycombinator.com||https://www.linkedin.com/company/y-combinator/
IndieBio||IndieBio is the largest biotech startup accelerator.||San Francisco, California, United States||Biotechnology, Finance, Venture Capital||www.indiebio.co||https://www.linkedin.com/company/17958584/
The Family||The Family nurtures Entrepreneurs through Education, Unfair Advantages & Capital.||Paris, Ile-de-France, France||Financial Services, Funding Platform, Venture Capital||thefamily.co||http://www.linkedin.com/company/thefamily
JumpStart||JumpStart Inc. is an Ohio-based non-profit organization that offers development assistance to entrepreneurs in Northeast Ohio.||Cleveland, Ohio, United States||Finance, Financial Services, Non Profit, Venture Capital||www.jumpstartinc.org||https://www.linkedin.com/company/jumpstart-inc-
Entrepreneur First||Entrepreneur First invests in technologists to help them build a deep tech company from scratch.||London, England, United Kingdom||Communities, Information Technology, Venture Capital||www.joinef.com||https://www.linkedin.com/company/2340783
Tribe Accelerator||The First Singapore Government-Supported Blockchain Accelerator||Singapore, Central Region, Singapore||Automotive, Blockchain, Information Technology, InsurTech, Logistics, Supply Chain Management, Sustainability||None||https://www.linkedin.com/company/tribe-accelerator
Next Big Thing||Next Big Thing offers a complete framework for the acceleration of IoT ventures.||Berlin, Berlin, Germany||Blockchain, Hardware, Information Technology, Innovation Management, Internet of Things, Software||None||https://www.linkedin.com/company/15217949
Accelerator Centre||Accelerator Centre is a network of facilities dedicated to developing and commercializing technology startups.||Waterloo, Ontario, Canada||Hardware, Information Technology, Software||www.acceleratorcentre.com||http://www.linkedin.com/company/accelerator-centre
FinLab||FinLab is a Germany-based investment company engaged in the building of companies in the financial services technologies.||Frankfurt, Hessen, Germany||Cryptocurrency, Finance, Financial Services, Incubators, Venture Capital||None||https://www.linkedin.com/company/finlab-ag
Primer||Startup Accelerator in Korea from Jan 2010||Seoul, Seoul-t'ukpyolsi, South Korea||Facilities Support Services, Social Entrepreneurship, Venture Capital||None||https://www.linkedin.com/company/primerclub
Startup Wise Guys||Startup Wise Guys is the leading B2B startup accelerator in Europe.||Tallinn, Harjumaa, Estonia||B2B, Cyber Security, Enterprise Software, FinTech, SaaS, Software||www.startupwiseguys.com||https://www.linkedin.com/company/startup-wise-guys
Victory Square||Victory Square creates, funds, and executes on ideas in sports, health, and entertainment.||Vancouver, British Columbia, Canada||Business Development, Digital Entertainment, Fantasy Sports, Finance, Financial Services, Sports||None||https://www.linkedin.com/company-beta/6391489/
ilab Accelerator||ilab was established by the Queensland Government in 2000 to support early stage, high-tech companies.||Brisbane, Queensland, Australia||Finance, Technical Support||None||http://www.linkedin.com/company/724492
Alchemist Accelerator||The Alchemist Accelerator is a venture-backed initiative focused on accelerating startups whose revenue comes from enterprises.||San Francisco, California, United States||Education, Enterprise Software, SaaS||www.alchemistaccelerator.com||https://www.linkedin.com/company/alchemist-accelerator
Health Wildcatters||Health Wildcatters is a mentor-driven seed accelerator focused on improving healthcare by supporting entrepreneurs and healthcare startups.||Dallas, Texas, United States||Finance, Health Care, Health Diagnostics, Information Technology||healthwildcatters.com||http://www.linkedin.com/company/3113717
The CDMN Soft-Landing Program||The CDMN Soft Landing program offers qualified, mature startups and SMEs exposure to business opportunities around the world.||Kitchener, Ontario, Canada||Information Services, Information Technology||None||http://www.linkedin.com/company/canadian-digital-media-network
Ann Arbor SPARK||Ann Arbor SPARK is Ann Arbor’s engine for economic development.||Ann Arbor, Michigan, United States||Finance, Non Profit, Venture Capital||www.annarborusa.org/||http://www.linkedin.com/company/816516
Carbon Trust||Carbon Trust is to accelerate the move to a low carbon economy, by working with organisations to reduce carbon emissions now and develop.||London, England, United Kingdom||Clean Energy, CleanTech, Environmental Engineering||None||http://www.linkedin.com/company/the-carbon-trust
NLC - The Healthtech Venture Builder||NLC is the European healthtech venture builder, bringing science-based healthtech inventions to life.||Amsterdam, Noord-Holland, The Netherlands||Health Care, Health Diagnostics, Medical, Medical Device, mHealth, Personal Health||None||https://www.linkedin.com/company/5192061/
GSVlabs||GSVlabs is a premium global innovation hub for startups, corporations, and individuals seeking innovation and accelerated growth.||Redwood City, California, United States||Banking, Communities, Consulting, Coworking, Financial Services, Incubators, Internet, Venture Capital||None||http://www.linkedin.com/company/gsvlabs
Healthbox||Healthbox is a an innovation consulting and fund management services firm, helping organization build and sustain innovation strategies.||Chicago, Illinois, United States||Health Care, Incubators, Venture Capital||www.healthbox.com||https://www.linkedin.com/company/healthbox/
LaunchPad||LaunchPad identifies and maximises tech-related opportunities across South-East Asia.||Selangor, Selangor, Malaysia||E-Commerce, Mobile Apps, SaaS||www.launchpadstartups.com/||None
Tampa Bay WaVE||Tampa Bay WaVE is a "by entrepreneurs, for entrepreneurs" non-profit helping entrepreneurs in Tampa Bay.||Tampa, Florida, United States||Apps, Mobile, Software||tampabaywave.org||http://www.linkedin.com/company/2355259
Allotrope Partners||Allotrope Partners is an investment firm specializing in early-stage companies in the carbon and clean energy sectors.||Oakland, California, United States||Clean Energy, Energy, Venture Capital||www.allotropepartners.com/||None
Novartis||Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.||Basel, Basel-Stadt, Switzerland||Health Care, Pharmaceutical||None||http://www.linkedin.com/company/novartis
CEED Tech||CEED Tech is a consortium of five startup accelerators.||Tallinn, Harjumaa, Estonia||Cloud Data Services, Financial Services, FinTech, Venture Capital||None||None
FounderFuel||FounderFuel is a mentor-driven venture accelerator that helps new startups make progress on the venture path.||Montréal, Quebec, Canada||Finance, Internet, SaaS, Venture Capital||founderfuel.com||http://www.linkedin.com/company/founderfuel
Automation Alley||Automation Alley is a technology business association and business accelerator.||Troy, Michigan, United States||Enterprise Software, Manufacturing, Public Relations||None||https://www.linkedin.com/company/automation-alley
Demium Startups||International Startup Builder||Valencia, Comunidad Valenciana, Spain||Business Development, Finance, Incubators, Information Technology, Marketing||None||https://www.linkedin.com/company/demiumstartups/
Ecofuel||Ecofuel is a Quebec-based startup accelerator providing services to clean technology companies.||Montréal, Quebec, Canada||CleanTech, Information Technology, Venture Capital||ecofuelaccelerate.com/||https://www.linkedin.com/company/ecofuel
NextAI||NextAI is a global innovation hub for artificial intelligence related venture creation and technology commercialization.||Toronto, Ontario, Canada||Artificial Intelligence, Hardware, Information Technology, Machine Learning, Non Profit, Software, Training||None||https://www.linkedin.com/company/nextai
Rokk3r||Rokk3r is a unique platform for entrepreneurs to launch companies through its comprehensive cobuilding approach.||Miami, Florida, United States||3D Printing, Artificial Intelligence, Drones, Internet, Nanotechnology||None||http://www.linkedin.com/company/rokk3r-labs
BlueChilli||BlueChilli helps entrepreneurs to solve society's greatest challenges. We propel their technology, tender, team and traction.||Sydney, New South Wales, Australia||Advice, Business Development, Financial Services, Software, Technical Support, Venture Capital||www.bluechilli.com/||https://www.linkedin.com/company/blue-chilli-technology/
